customer_id,rec,frec,val_mon
CS1622,1.0,7,480
CS1623,17.0,4,295
CS1624,40.0,6,449
CS1625,6.0,4,227
CS1626,62.0,4,312
CS1627,78.0,3,133
CS1628,22.0,7,563
CS1629,4.0,5,354
CS1630,2.0,4,251
CS1631,42.0,4,293
CS1632,9.0,6,509
CS1633,19.0,3,172
CS1634,15.0,9,623
CS1635,97.0,5,289
CS1636,69.0,6,428
CS1637,23.0,6,393
CS1638,231.0,1,64
CS1639,13.0,8,597
CS1640,61.0,6,384
CS1641,9.0,6,497
CS1642,35.0,7,393
CS1643,23.0,7,648
CS1644,76.0,7,475
CS1645,244.0,4,316
CS1646,28.0,4,278
CS1647,17.0,5,304
CS1648,117.0,5,434
CS1649,49.0,2,181
CS1650,114.0,5,440
CS1651,105.0,3,192
CS1652,2.0,5,364
CS1653,118.0,7,610
CS1654,91.0,6,503
CS1655,29.0,6,421
CS1656,52.0,6,436
CS1657,126.0,4,323
CS1658,30.0,5,401
CS1659,44.0,5,364
CS1660,21.0,6,388
CS1661,28.0,8,493
CS1662,23.0,3,153
CS1663,97.0,9,627
CS1664,14.0,6,485
CS1665,156.0,4,281
CS1666,51.0,3,238
CS1667,74.0,4,321
CS1668,50.0,3,140
CS1669,16.0,6,419
CS1670,82.0,2,191
CS1671,85.0,4,308
CS1672,132.0,1,71
CS1673,55.0,5,269
CS1674,55.0,5,305
CS1675,39.0,9,703
CS1676,67.0,5,393
CS1677,65.0,3,285
CS1678,76.0,6,423
CS1679,8.0,9,493
CS1680,49.0,4,251
CS1681,114.0,1,64
CS1682,127.0,5,398
CS1683,15.0,2,173
CS1684,69.0,7,432
CS1685,216.0,2,161
CS1686,68.0,3,194
CS1687,25.0,6,512
CS1688,132.0,3,258
CS1689,75.0,5,286
CS1690,24.0,8,604
CS1691,74.0,9,654
CS1692,2.0,7,510
CS1693,16.0,3,261
CS1694,66.0,3,209
CS1695,94.0,5,319
CS1696,130.0,4,320
CS1697,108.0,5,441
CS1698,6.0,4,331
CS1699,17.0,7,502
CS1700,248.0,4,235
CS1701,179.0,3,166
CS1702,27.0,5,287
CS1703,70.0,3,200
CS1704,19.0,9,568
CS1705,79.0,6,396
CS1706,31.0,7,513
CS1707,42.0,7,449
CS1708,41.0,7,567
CS1709,160.0,7,464
CS1710,266.0,1,42
CS1711,86.0,3,178
CS1712,121.0,5,345
CS1713,10.0,8,681
CS1714,1.0,7,553
CS1715,48.0,9,562
CS1716,353.0,1,100
CS1717,50.0,3,180
CS1718,78.0,6,400
CS1719,36.0,3,249
CS1720,1.0,7,479
CS1721,21.0,9,591
CS1722,15.0,4,330
CS1723,36.0,3,217
CS1724,30.0,5,381
CS1725,60.0,5,408
CS1726,28.0,10,727
CS1727,12.0,8,486
CS1728,107.0,7,594
CS1729,14.0,7,417
CS1730,132.0,7,397
CS1731,15.0,4,209
CS1732,26.0,5,450
CS1733,131.0,6,480
CS1734,191.0,3,168
CS1735,14.0,5,322
CS1736,84.0,6,409
CS1737,91.0,4,362
CS1738,36.0,4,225
CS1739,49.0,3,199
CS1740,40.0,10,821
CS1741,148.0,1,52
CS1742,71.0,4,235
CS1743,169.0,5,467
CS1744,14.0,5,338
CS1745,25.0,7,497
CS1746,275.0,4,259
CS1747,5.0,5,285
CS1748,3.0,5,334
CS1749,18.0,3,180
CS1750,13.0,4,336
CS1751,50.0,6,411
CS1752,18.0,5,386
CS1753,87.0,1,70
CS1754,79.0,3,189
CS1755,87.0,5,332
CS1756,236.0,2,108
CS1757,81.0,8,523
CS1758,66.0,6,355
CS1759,108.0,7,507
CS1760,63.0,6,452
CS1761,2.0,4,275
CS1762,93.0,3,189
CS1763,29.0,7,436
CS1764,36.0,4,354
CS1765,85.0,3,204
CS1766,121.0,3,161
CS1767,33.0,6,453
CS1768,96.0,5,388
CS1769,181.0,6,417
CS1770,7.0,7,515
CS1771,13.0,8,628
